"MCXA26x/A25x/A18x/A17x
LQFP144","MCXA26x/A25x/A18x/A17x
 LQFP144 Pin Name","MCXA26x/A25x/A18x/A17x
WFBGA169","MCXA26x/A25x/A18x/A17x
WFBGA169 Pin Name"," MCXA26x/A25x/A18x/A17x
LQFP100"," MCXA26x/A25x/A18x/A17x 
LQFP100 Pin Name"," MCXA26x/A25x/A18x/A17x
LQFP64"," MCXA26x/A25x/A18x/A17x
LQFP64 Pin Name",I/O Supply,Default,ISP,ANALOG,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,ALT8,ALT9,ALT10,ALT11,ALT12,VDD_SYS,Pad type,
11,P1_18,E4,P1_18,,,,,VDD,DIS,,ADC1_A16,P1_18,FREQME_CLK_IN0,,,CT3_MAT0,,FLEXIO0_D26,SmartDMA_PIO14,LPUART5_RTS_B,,,CAN0_TXD,,,SLOW,
12,P1_19,E3,P1_19,,,,,VDD,DIS,,ADC1_A17,P1_19,FREQME_CLK_IN1,,,CT3_MAT1,,FLEXIO0_D27,SmartDMA_PIO15,LPUART5_CTS_B,,,CAN0_RXD,,WUU0_IN15,SLOW,
13,P1_29,F2,P1_29,9,P1_29,8,P1_29,VDD,ALT1,,,P1_29,RESET_B,SPC_LPREQ,,,,,,,,,,,RESET_B,RST,
14,P1_30,F1,P1_30,10,P1_30,9,P1_30,VDD,DIS,,XTAL48M,P1_30,TRIG_OUT3,,LPI2C0_SDA,CT_INP16,,FLEXIO0_D30,,,,I3C0_SDA,,,,HD+I3C,
15,P1_31,G1,P1_31,11,P1_31,10,P1_31,VDD,DIS,,EXTAL48M,P1_31,TRIG_IN4,,LPI2C0_SCL,CT_INP17,,FLEXIO0_D31,,,,I3C0_SCL,,,,HD,
16,VSS,C3,VSS,12,VSS,11,VSS,VDD,,,,,,,,,,,,,,,,,,,
17,VREFL,H5,VREFL,12,VSS,11,VSS,VDD,,,,,,,,,,,,,,,,,,,
18,VREFH,G5,VREFH,13,VREFH,12,VDD_ANA,VDD,,,,,,,,,,,,,,,,,,,
19,VDD_ANA,G6,VDD_ANA,14,VDD_ANA,12,VDD_ANA,VDD,,,,,,,,,,,,,,,,,,,
20,VDD,E5,VDD,15,VDD,13,VDD,VDD,,,,,,,,,,,,,,,,,,,
21,P4_0,H1,P4_0,,,,,VDD,DIS,,,P4_0,TRIG_IN5,,,,PWM0_A3,FLEXIO0_D8,SmartDMA_PIO20,,,,,,,MED,
22,P4_1,H2,P4_1,,,,,VDD,DIS,,,P4_1,,,,,PWM0_B3,FLEXIO0_D9,SmartDMA_PIO21,,,,,,,MED,
23,P4_2,J1,P4_2,16,P4_2,,,VDD,DIS,,,P4_2,CLKOUT,LPI2C2_SDAS,LPUART3_RXD,CT4_MAT0,PWM0_A2,FLEXIO0_D10,SmartDMA_PIO22,,,,,,WUU0_IN16,MED,
24,P4_3,J2,P4_3,17,P4_3,,,VDD,DIS,,,P4_3,,LPI2C2_SCL,LPUART4_TXD,CT4_MAT1,PWM0_B2,FLEXIO0_D11,SmartDMA_PIO23,,,,,,,MED,
25,P4_4,K1,P4_4,18,P4_4,,,VDD,DIS,,,P4_4,,LPI2C2_SDA,LPUART4_RXD,CT4_MAT2,PWM0_A1,FLEXIO0_D12,SmartDMA_PIO24,,,,,,WUU0_IN17,MED,
26,P4_5,K2,P4_5,19,P4_5,,,VDD,DIS,,,P4_5,TRIG_OUT3,LPI2C2_SCLS,LPUART3_TXD,CT4_MAT3,PWM0_B1,FLEXIO0_D13,SmartDMA_PIO25,,,,,,,MED,
27,P4_6,L1,P4_6,20,P4_6,,,VDD,DIS,,,P4_6,TRIG_IN4,LPI2C2_HREQ,LPUART3_CTS_B,CT_INP6,PWM0_A0,FLEXIO0_D14,SmartDMA_PIO26,,,,,,,MED,
28,P4_7,L2,P4_7,21,P4_7,,,VDD,DIS,,,P4_7,TRIG_IN5,,LPUART3_RTS_B,CT_INP7,PWM0_B0,FLEXIO0_D15,SmartDMA_PIO27,,,,,,,MED,
29,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P2_0,M1,P2_0,22,P2_0,14,P2_0,VDD,DIS,,ADC0_A0,P2_0,TRIG_IN6,LPUART0_RXD,LPUART4_CTS_B,CT_INP16,CT2_MAT0,FLEXIO0_D8,SmartDMA_PIO24,,,,CAN1_RXD,,WUU0_IN18,SLOW,
34,P2_1,N1,P2_1,23,P2_1,15,P2_1,VDD,DIS,,ADC1_A0,P2_0,TRIG_IN7,LPUART0_TXD,LPUART4_RTS_B,CT_INP17,CT2_MAT1,FLEXIO0_D9,SmartDMA_PIO25,,,,CAN1_TXD,,,SLOW,
35,P2_2,M2,P2_2,24,P2_2,16,P2_2,VDD,DIS,UART_TXD,ADC0_A4/CMP0_IN0/DAC0_OUT/CMP1_INN4,P2_2,TRIG_IN6,LPUART0_RTS_B,LPUART2_TXD,CT_INP12,CT2_MAT2,FLEXIO0_D10,SmartDMA_PIO26,,,,,,,SLOW,
36,P2_3,N2,P2_3,25,P2_3,17,P2_3,VDD,DIS,UART_RXD,ADC0_A3/CMP1_IN0/ADC1_A4,P2_3,TRIG_IN7,LPUART0_CTS_B,LPUART2_RXD,CT_INP13,CT2_MAT3,FLEXIO0_D11,SmartDMA_PIO27,,,,,,WUU0_IN19,SLOW,
37,P2_4,M3,P2_4,26,P2_4,18,P2_4,VDD,DIS,,ADC0_A1,P2_4,,,LPUART2_CTS_B,CT_INP14,CT1_MAT0,FLEXIO0_D12,SmartDMA_PIO28,,,,,,,SLOW,
38,P2_5,N3,P2_5,27,P2_5,19,P2_5,VDD,DIS,,ADC1_A1,P2_5,,,LPUART2_RTS_B,CT_INP15,CT1_MAT1,FLEXIO0_D13,SmartDMA_PIO29,,,,,,,SLOW,
39,P2_6,M4,P2_6,28,P2_6,20,P2_6,VDD,DIS,,ADC1_A3,P2_6,TRIG_OUT4,LPSPI1_PCS1,LPUART4_RXD,CT_INP18,CT1_MAT2,FLEXIO0_D14,SmartDMA_PIO30,,,,,,,SLOW,
40,P2_7,N4,P2_7,29,P2_7,21,P2_7,VDD,DIS,,VREFI/ADC1_A7/ADC0_A7,P2_7,TRIG_IN5,,LPUART4_TXD,CT_INP19,CT1_MAT3,FLEXIO0_D15,SmartDMA_PIO31,,,,,,,SLOW,
41,P2_8,L4,P2_8,,,,,VDD,DIS,,,P2_8,TRIG_OUT3,,,CT3_MAT0,,FLEXIO0_D16,,,,,,,,SLOW,
42,P2_9,K5,P2_9,,,,,VDD,DIS,,,P2_9,TRIG_IN4,,,CT3_MAT1,,FLEXIO0_D17,,,,,,,,SLOW,
43,P2_10,L5,P2_10,30,P2_10,,,VDD,DIS,,,P2_10,TRIG_OUT5,,LPUART2_TXD,CT3_MAT2,,FLEXIO0_D18,SmartDMA_PIO14,,,,,,,SLOW,
44,P2_11,K6,P2_11,31,P2_11,,,VDD,DIS,,,P2_11,TRIG_IN4,,LPUART2_RXD,CT3_MAT3,,FLEXIO0_D19,SmartDMA_PIO15,,,,,,,SLOW,
45,VSS,C11,VSS,32,VSS,,,VDD,,,,,,,,,,,,,,,,,,,
46,VDD,E6,VDD,33,VDD,,,VDD,,,,,,,,,,,,,,,,,,,
47,P2_12,M5,P2_12,34,P2_12,22,P2_12,VDD,DIS,,ADC0_A5/OPAMP0_INP,P2_12,USB0_VBUS_DET,LPSPI1_SCK,LPUART1_RXD,CT4_MAT0,CT0_MAT0,FLEXIO0_D20,SmartDMA_PIO16,,,,CAN0_RXD,,WUU0_IN20,SLOW,
48,P2_13,N5,P2_13,35,P2_13,23,P2_13,VDD,DIS,,ADC1_A5/OPAMP0_INN,P2_13,TRIG_IN8,LPSPI1_SDO,LPUART1_TXD,CT4_MAT1,CT0_MAT1,FLEXIO0_D21,SmartDMA_PIO17,,,,CAN0_TXD,,,SLOW,
49,P2_14,L6,P2_14,,,,,VDD,DIS,,,P2_14,,,,CT4_MAT2,,FLEXIO0_D22,,,,,,,,SLOW,
50,P2_15,M6,P2_15,36,P2_15,24,P2_15,VDD,DIS,,OPAMP0_OUT/ADC0_A2/CMP0_INP4,P2_15,TRIG_OUT4,LPSPI1_SDI,LPUART1_RTS_B,CT4_MAT3,CT0_MAT2,FLEXIO0_D23,SmartDMA_PIO18,,,,CAN1_RXD,,WUU0_IN21,SLOW,
51,P2_16,N6,P2_16,37,P2_16,,,VDD,DIS,,ADC0_A6,P2_16,,LPSPI1_SDI,LPUART1_RTS_B,CT3_MAT0,CT0_MAT2,FLEXIO0_D24,SmartDMA_PIO19,,,,CAN1_TXD,,,SLOW,
52,P2_17,N7,P2_17,38,P2_17,,,VDD,DIS,,ADC1_A6,P2_17,TRIG_IN9,LPSPI1_PCS0,LPUART1_CTS_B,CT3_MAT1,CT0_MAT3,FLEXIO0_D25,SmartDMA_PIO20,,,,,,,SLOW,
53,P2_18,K8,P2_18,,,,,VDD,DIS,,,P2_18,,,,CT3_MAT2,,FLEXIO0_D26,,,,,,,,SLOW,
54,P2_19,M7,P2_19,39,P2_19,,,VDD,DIS,,ADC1_A2/CMP1_INP4,P2_19,TRIG_OUT5,,,CT3_MAT3,,FLEXIO0_D27,SmartDMA_PIO21,,,,,,,SLOW,
55,P2_20,N8,P2_20,40,P2_20,,,VDD,DIS,,,P2_20,TRIG_IN8,LPSPI1_PCS2,,CT2_MAT0,,FLEXIO0_D28,SmartDMA_PIO22,,,,,,,SLOW,
56,P2_21,M8,P2_21,41,P2_21,,,VDD,DIS,,,P2_21,TRIG_IN9,LPSPI1_PCS3,,CT2_MAT1,,FLEXIO0_D29,SmartDMA_PIO23,,,,,,,SLOW,
57,P2_22,L8,P2_22,,,,,VDD,DIS,,,P2_22,,,,CT2_MAT2,,FLEXIO0_D30,,,,,,,,SLOW,
58,P2_23,N9,P2_23,42,P2_23,,,VDD,DIS,,CMP0_INN4,P2_23,TRIG_OUT5,,,CT2_MAT3,,FLEXIO0_D31,,,,,,,,SLOW,
59,P2_24,M9,P2_24,,,,,VDD,DIS,,,P2_24,TRIG_OUT6,,,CT_INP8,,,,,,,,,,SLOW,
60,P2_25,K9,P2_25,,,,,VDD,DIS,,,P2_25,TRIG_OUT7,,,CT_INP9,,,,,,,,,,SLOW,
61,P2_26,L9,P2_26,,,,,VDD,DIS,,,P2_26,TRIG_IN5,,,CT_INP10,,,,,,,,,,SLOW,
62,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
63,VSS,L3,VSS,,,,,VDD,,,,,,,,,,,,,,,,,,,
64,VDD,E8,VDD,,,,,VDD,,,,,,,,,,,,,,,,,,,
65,VDD_USB,N11,VDD_USB,43,VDD_USB,25,VDD_USB,VDD_USB,,,,,,,,,,,,,,,,,,,
66,USB0_DM,N10,USB0_DM,44,USB0_DM,26,USB0_DM,VDD_USB,,,USB0_DM,,,,,,,,,,,,,,WUU0_IN28,ANA,
67,USB0_DP,M10,USB0_DP,45,USB0_DP,27,USB0_DP,VDD_USB,,,USB0_DP,,,,,,,,,,,,,,WUU0_IN29,ANA,
68,VSS,L11,VSS,46,VSS,28,VSS,VDD,,,,,,,,,,,,,,,,,,,
69,VDD,E9,VDD,47,VDD,29,VDD,VDD,,,,,,,,,,,,,,,,,,,
70,P3_31,M12,P3_31,48,P3_31,30,P3_31,VDD,DIS,,ADC1_A20,P3_31,TRIG_IN10,LPI2C3_SDAS,LPUART4_CTS_B,CT0_MAT3,,FLEXIO0_D31,PWM1_B0,,,SmartDMA_PIO31,,,LPTMR0_ALT2/TAMPER0,SLOW+TAM,
71,P3_30,N12,P3_30,49,P3_30,31,P3_30,VDD,DIS,,ADC1_A21,P3_30,TRIG_OUT6,LPI2C3_SCLS,LPUART4_RTS_B,CT0_MAT2,,FLEXIO0_D30,PWM1_A0,,,SmartDMA_PIO30,,,,SLOW,
72,P3_29,N13,P3_29,50,P3_29,32,P3_29,VDD,DIS,,ADC1_A22,P3_29,ISPMODE_N,LPI2C3_HREQ,,CT_INP3,CT3_MAT3,FLEXIO0_D29,,,,SmartDMA_PIO29,,,WUU0_IN27/TAMPER1,SLOW+TAM,
73,P3_28,M13,P3_28,51,P3_28,33,P3_28,VDD,DIS,,,P3_28,TRIG_IN11,LPI2C3_SDA,LPUART4_RXD,CT_INP12,CT3_MAT2,FLEXIO0_D28,PWM1_B3,,,SmartDMA_PIO28,,,WUU0_IN26,5VTOL,
74,P3_27,L12,P3_27,52,P3_27,34,P3_27,VDD,DIS,,,P3_27,TRIG_OUT7,LPI2C3_SCL,LPUART4_TXD,CT_INP13,CT3_MAT1,FLEXIO0_D27,PWM1_A3,,,SmartDMA_PIO27,,,WUU0_IN30,5VTOL,
75,P3_26,L13,P3_26,,,,,VDD,DIS,,,P3_26,TRIG_IN10,,,CT_INP14,,FLEXIO0_D26,,,,SmartDMA_PIO26,,,TAMPER2,SLOW+TAM,
76,P3_25,K12,P3_25,,,,,VDD,DIS,,,P3_25,TRIG_OUT6,,,CT_INP15,,FLEXIO0_D25,,,,SmartDMA_PIO25,,,TAMPER3,SLOW+TAM,
77,P3_24,K13,P3_24,,,,,VDD,DIS,,,P3_24,TRIG_IN11,,,CT_INP16,,FLEXIO0_D24,,,,SmartDMA_PIO24,,,,SLOW,
78,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
79,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
80,P3_23,J12,P3_23,,,,,VDD,DIS,,,P3_23,,,LPUART1_CTS_B,CT_INP11,,FLEXIO0_D31,PWM1_X3,,,SmartDMA_PIO23,,,,SLOW,
81,P3_22,J13,P3_22,53,P3_22,,,VDD,DIS,,,P3_22,,,LPUART1_RTS_B,CT_INP10,,FLEXIO0_D30,PWM1_X2,,,SmartDMA_PIO22,,,,SLOW,
82,P3_21,H12,P3_21,54,P3_21,,,VDD,DIS,,,P3_21,TRIG_OUT1,LPI2C3_SCL,LPUART1_TXD,CT2_MAT3,PWM0_X3,FLEXIO0_D29,PWM1_B3,,,SmartDMA_PIO21,,,,SLOW,
83,P3_20,H13,P3_20,55,P3_20,,,VDD,DIS,,,P3_20,TRIG_OUT0,LPI2C3_SDA,LPUART1_RXD,CT2_MAT2,PWM0_X2,FLEXIO0_D28,PWM1_A3,,,SmartDMA_PIO20,,,,SLOW,
84,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
85,P3_19,J11,P3_19,56,P3_19,,,VDD,DIS,,LCD_P47,P3_19,,LPUART4_TXD,,CT2_MAT1,PWM0_X1,FLEXIO0_D27,PWM1_X1,,LCD_P47,SmartDMA_PIO19,,,TAMPER4,SLOW+TAM,
86,P3_18,J10,P3_18,57,P3_18,,,VDD,DIS,,LCD_P46,P3_18,,LPUART4_RXD,,CT2_MAT0,PWM0_X0,FLEXIO0_D26,PWM1_X0,,LCD_P46,SmartDMA_PIO18,,,TAMPER5,SLOW+TAM,
87,P3_17,H11,P3_17,58,P3_17,,,VDD,DIS,,LCD_P45,P3_17,,LPUART4_CTS_B,,CT_INP9,,FLEXIO0_D25,PWM1_B0,,LCD_P45,SmartDMA_PIO17,,,,SLOW,
88,P3_16,H10,P3_16,59,P3_16,,,VDD,DIS,,LCD_P44,P3_16,,LPUART4_RTS_B,,CT_INP8,,FLEXIO0_D24,PWM1_A0,,LCD_P44,SmartDMA_PIO16,,,,SLOW,
89,P3_15,G13,P3_15,60,P3_15,35,P3_15,VDD,DIS,,LCD_P43,P3_15,,LPUART2_TXD,LPUART3_RTS_B,CT_INP7,PWM0_X3,FLEXIO0_D23,PWM1_B1,,LCD_P43,SmartDMA_PIO15,,,,SLOW,
90,P3_14,F12,P3_14,61,P3_14,36,P3_14,VDD,DIS,,LCD_P42,P3_14,,LPUART2_RXD,LPUART3_CTS_B,CT_INP6,PWM0_X2,FLEXIO0_D22,PWM1_A1,,LCD_P42,SmartDMA_PIO14,,,WUU0_IN25,SLOW,
91,P3_13,F13,P3_13,62,P3_13,37,P3_13,VDD,DIS,,LCD_P41,P3_13,,LPUART2_CTS_B,LPUART3_RXD,CT1_MAT3,PWM0_X1,FLEXIO0_D21,PWM1_B2,,LCD_P41,SmartDMA_PIO13,,,,SLOW,
92,P3_12,E12,P3_12,63,P3_12,38,P3_12,VDD,DIS,,LCD_P40,P3_12,,LPUART2_RTS_B,LPUART3_TXD,CT1_MAT2,PWM0_X0,FLEXIO0_D20,PWM1_A2,,LCD_P40,SmartDMA_PIO12,,,,SLOW,
93,VSS,C7,VSS,64,VSS,,,VDD,,,,,,,,,,,,,,,,,,,
94,VDD,J5,VDD,65,VDD,,,VDD,,,,,,,,,,,,,,,,,,,
95,P3_11,E13,P3_11,66,P3_11,39,P3_11,VDD,DIS,,LCD_P39,P3_11,TRIG_IN6,LPSPI1_PCS0,LPUART1_CTS_B,CT1_MAT1,PWM0_B2,FLEXIO0_D19,,LPUART5_RXD,LCD_P39,SmartDMA_PIO11,,,WUU0_IN24,MED,
96,P3_10,D13,P3_10,67,P3_10,40,P3_10,VDD,DIS,,LCD_P38,P3_10,TRIG_IN5,LPSPI1_SCK,LPUART1_RTS_B,CT1_MAT0,PWM0_A2,FLEXIO0_D18,,LPUART5_TXD,LCD_P38,SmartDMA_PIO10,,,,MED,
97,P3_9,D12,P3_9,68,P3_9,41,P3_9,VDD,DIS,,LCD_P37,P3_9,TRIG_IN4,LPSPI1_SDI,LPUART1_TXD,CT_INP5,PWM0_B1,FLEXIO0_D17,,LPUART5_RTS_B,LCD_P37,SmartDMA_PIO9,,,,MED,
98,P3_8,C13,P3_8,69,P3_8,42,P3_8,VDD,DIS,,LCD_P36,P3_8,TRIG_IN3,LPSPI1_SDO,LPUART1_RXD,CT_INP4,PWM0_A1,FLEXIO0_D16,,LPUART5_CTS_B,LCD_P36,SmartDMA_PIO8,,CLKOUT,WUU0_IN23,MED,
99,P3_7,C12,P3_7,70,P3_7,43,P3_7,VDD,DIS,,LCD_P35,P3_7,TRIG_IN2,LPSPI1_PCS2,LPUART3_CTS_B,CT4_MAT3,PWM0_B3,FLEXIO0_D15,PWM1_B0,,LCD_P35,SmartDMA_PIO7,,,,MED,
100,P3_6,B13,P3_6,71,P3_6,44,P3_6,VDD,DIS,,LCD_P34,P3_6,CLKOUT,LPSPI1_PCS3,LPUART3_RTS_B,CT4_MAT2,PWM0_A3,FLEXIO0_D14,PWM1_A0,,LCD_P34,SmartDMA_PIO6,,FREQME_CLK_OUT1,,MED,
101,P3_5,F11,P3_5,,,,,VDD,DIS,,,P3_5,,,,CT_INP19,PWM0_X3,FLEXIO0_D13,,,,SmartDMA_PIO5,,,,SLOW,
102,P3_4,F10,P3_4,,,,,VDD,DIS,,,P3_4,,,,CT_INP18,PWM0_X2,FLEXIO0_D12,,,,SmartDMA_PIO4,,,,SLOW,
103,P3_3,E11,P3_3,,,,,VDD,DIS,,,P3_3,,,,CT4_MAT1,PWM0_X1,FLEXIO0_D11,PWM1_X3,,,SmartDMA_PIO3,,,,SLOW,
104,P3_2,E10,P3_2,,,,,VDD,DIS,,,P3_2,,LPSPI1_PCS1,,CT4_MAT0,PWM0_X0,FLEXIO0_D10,PWM1_X2,,,SmartDMA_PIO2,,,,SLOW,
105,P3_1,B12,P3_1,72,P3_1,45,P3_1,VDD,DIS,,LCD_P33,P3_1,TRIG_IN1,,LPUART3_TXD,CT_INP17,PWM0_B0,FLEXIO0_D9,PWM1_X1,,LCD_P33,SmartDMA_PIO1,,FREQME_CLK_OUT0,,HD,
106,P3_0,A13,P3_0,73,P3_0,46,P3_0,VDD,DIS,,LCD_P32,P3_0,TRIG_IN0,,LPUART3_RXD,CT_INP16,PWM0_A0,FLEXIO0_D8,PWM1_X0,,LCD_P32,SmartDMA_PIO0,,,WUU0_IN22,HD,
107,VSS,D7,VSS,74,VSS,47,VSS,VDD,,,,,,,,,,,,,,,,,,,
108,VDD,J6,VDD,75,VDD,48,VDD,VDD,,,,,,,,,,,,,,,,,,,
109,P0_0,A12,P0_0,76,P0_0,49,P0_0,VDD,ALT1,,,P0_0,TMS/SWDIO,LPUART0_RTS_B,LPSPI0_PCS0,CT_INP0,,FLEXIO0_D0,,,,,,,,SLOW,
110,P0_1,B11,P0_1,77,P0_1,50,P0_1,VDD,ALT1,,,P0_1,TCLK/SWCLK,LPUART0_CTS_B,LPSPI0_SDI,CT_INP1,,FLEXIO0_D1,,,,,,,,SLOW,
111,P0_2,A11,P0_2,78,P0_2,51,P0_2,VDD,ALT1,,,P0_2,TDO/SWO,LPUART0_RXD,LPSPI0_SCK,CT0_MAT0,UTICK_CAP0,FLEXIO0_D2,,,,I3C0_PUR,,,,SLOW,
112,P0_3,D10,P0_3,79,P0_3,52,P0_3,VDD,ALT1,,CMP1_IN1/ADC0_A14,P0_3,TDI,LPUART0_TXD,LPSPI0_SDO,CT0_MAT1,UTICK_CAP1,FLEXIO0_D3,,CMP0_OUT,,,,,,SLOW,
113,P0_4,A10,P0_4,,,,,VDD,DIS,,,P0_4,,,,CT0_MAT2,UTICK_CAP2,FLEXIO0_D4,SmartDMA_PIO0,CMP1_OUT,,,,,WUU0_IN0,SLOW,
114,P0_5,B9,P0_5,,,,,VDD,DIS,,,P0_5,,,,CT0_MAT3,UTICK_CAP3,FLEXIO0_D5,SmartDMA_PIO1,,,,,,,SLOW,
115,P0_6,A9,P0_6,80,P0_6,53,P0_6,VDD,ALT1,ISPMODE_N,ADC0_A15,P0_6,ISPMODE_N,LPI2C0_HREQ,LPSPI0_PCS1,CT_INP2,,FLEXIO0_D6,SmartDMA_PIO2,CMP1_OUT,,,,CLKOUT,,SLOW,
116,P0_7,D11,P0_7,,,,,VDD,DIS,,,P0_7,,,,CT_INP3,,FLEXIO0_D7,SmartDMA_PIO3,,,,,,WUU0_IN1,SLOW,
117,NC,,,,,,,NC,,,,,,,,,,,,,,,,,,,
118,VSS,E7,VSS,,,,,VDD,,,,,,,,,,,,,,,,,,,
119,P0_12,C10,P0_12,,,,,VDD,DIS,,LCD_P16,P0_12,,,,CT0_MAT2,,FLEXIO0_D4,,,LCD_P16,,,,,SLOW,
120,P0_13,B10,P0_13,,,,,VDD,DIS,,LCD_P17,P0_13,,,,CT0_MAT3,,FLEXIO0_D5,,,LCD_P17,,,,,SLOW,
121,P0_14,C9,P0_14,81,P0_14,,,VDD,DIS,,LCD_P18,P0_14,,,,CT_INP2,UTICK_CAP0,FLEXIO0_D6,SmartDMA_PIO4,,LCD_P18,,,,,SLOW,
122,P0_15,D9,P0_15,82,P0_15,,,VDD,DIS,,LCD_P19,P0_15,,,,CT_INP3,UTICK_CAP1,FLEXIO0_D7,SmartDMA_PIO5,,LCD_P19,,,,,SLOW,
123,P0_16,B8,P0_16,83,P0_16,54,P0_16,VDD,DIS,,LCD_P20,P0_16,,LPI2C0_SDA,LPSPI0_PCS2,CT0_MAT0,UTICK_CAP2,FLEXIO0_D0,SmartDMA_PIO6,,LCD_P20,I3C0_SDA,,,WUU0_IN2,HD+I3C,
124,P0_17,A8,P0_17,84,P0_17,55,P0_17,VDD,DIS,,LCD_P21,P0_17,,LPI2C0_SCL,LPSPI0_PCS3,CT0_MAT1,UTICK_CAP3,FLEXIO0_D1,SmartDMA_PIO7,,LCD_P21,I3C0_SCL,,,,HD,
125,P0_18,A7,P0_18,85,P0_18,,,VDD,DIS,,ADC0_A8/LCD_P22,P0_18,,LPI2C0_SCLS,,CT0_MAT2,,FLEXIO0_D2,SmartDMA_PIO8,CMP0_OUT,LCD_P22,,,,,SLOW,
126,P0_19,B7,P0_19,86,P0_19,,,VDD,DIS,,ADC0_A9/LCD_P23,P0_19,,LPI2C0_SDAS,,CT0_MAT3,,FLEXIO0_D3,SmartDMA_PIO9,CMP1_OUT,LCD_P23,,,,WUU0_IN3,SLOW,
127,P0_20,A6,P0_20,87,P0_20,,,VDD,DIS,,ADC0_A10/LCD_P24,P0_20,,,LPUART0_RXD,CT_INP0,,FLEXIO0_D4,SmartDMA_PIO10,,LCD_P24,,,,WUU0_IN4,SLOW,
